transaction_id,data_hora,ativo,quantidade,tipo_operacao,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
BTCX-00000001,2024-01-01 12:45:00+00:00,BTC,0.42,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.851312+00:00
BTCX-00000002,2024-01-01 18:17:00+00:00,BTC,0.01,COMPRA,USD,C001,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.851421+00:00
BTCX-00000003,2024-01-01 14:17:00+00:00,BTC,0.1,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.851502+00:00
BTCX-00000004,2024-01-01 10:24:00+00:00,BTC,0.07,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.851572+00:00
BTCX-00000005,2024-01-01 13:51:00+00:00,BTC,0.03,VENDA,USD,C002,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.851640+00:00
BTCX-00000006,2024-01-01 15:05:00+00:00,BTC,0.36,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.851704+00:00
BTCX-00000007,2024-01-01 14:36:00+00:00,BTC,0.13,COMPRA,USD,C001,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.851764+00:00
BTCX-00000008,2024-01-01 12:49:00+00:00,BTC,0.19,COMPRA,USD,C005,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.851825+00:00
BTCX-00000009,2024-01-01 15:17:00+00:00,BTC,0.3,VENDA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.851887+00:00
BTCX-00000010,2024-01-01 14:13:00+00:00,BTC,0.43,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.851947+00:00
BTCX-00000011,2024-01-01 19:04:00+00:00,BTC,0.39,COMPRA,USD,C006,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852005+00:00
BTCX-00000012,2024-01-01 12:10:00+00:00,BTC,0.3,VENDA,USD,C002,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852065+00:00
BTCX-00000013,2024-01-01 20:35:00+00:00,BTC,0.15,VENDA,USD,C004,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852122+00:00
BTCX-00000014,2024-01-01 09:51:00+00:00,BTC,0.21,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852182+00:00
BTCX-00000015,2024-01-01 12:58:00+00:00,BTC,0.37,VENDA,USD,C008,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852239+00:00
BTCX-00000016,2024-01-02 15:56:00+00:00,BTC,0.42,VENDA,USD,C007,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.852304+00:00
BTCX-00000017,2024-01-02 11:15:00+00:00,BTC,0.48,VENDA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852361+00:00
BTCX-00000018,2024-01-02 15:57:00+00:00,BTC,0.38,VENDA,USD,C002,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852416+00:00
BTCX-00000019,2024-01-02 11:32:00+00:00,BTC,0.32,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852471+00:00
BTCX-00000020,2024-01-02 11:40:00+00:00,BTC,0.11,VENDA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852526+00:00
BTCX-00000021,2024-01-02 15:24:00+00:00,BTC,0.39,VENDA,USD,C002,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.852582+00:00
BTCX-00000022,2024-01-02 17:55:00+00:00,BTC,0.01,COMPRA,USD,C008,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852637+00:00
BTCX-00000023,2024-01-02 13:49:00+00:00,BTC,0.42,VENDA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.852691+00:00
BTCX-00000024,2024-01-02 15:10:00+00:00,BTC,0.3,COMPRA,USD,C007,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.852746+00:00
BTCX-00000025,2024-01-02 13:32:00+00:00,BTC,0.49,COMPRA,USD,C010,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852801+00:00
BTCX-00000026,2024-01-02 19:19:00+00:00,BTC,0.41,COMPRA,USD,C004,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.852855+00:00
BTCX-00000027,2024-01-02 11:34:00+00:00,BTC,0.5,COMPRA,USD,C008,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.852914+00:00
BTCX-00000028,2024-01-02 16:01:00+00:00,BTC,0.08,VENDA,USD,C007,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.852978+00:00
BTCX-00000029,2024-01-02 09:15:00+00:00,BTC,0.37,COMPRA,USD,C005,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853046+00:00
BTCX-00000030,2024-01-02 16:52:00+00:00,BTC,0.05,COMPRA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853104+00:00
BTCX-00000031,2024-01-03 17:10:00+00:00,BTC,0.17,VENDA,USD,C007,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853163+00:00
BTCX-00000032,2024-01-03 20:44:00+00:00,BTC,0.13,VENDA,USD,C009,DISTRIB,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853218+00:00
BTCX-00000033,2024-01-03 19:23:00+00:00,BTC,0.29,VENDA,USD,C008,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853271+00:00
BTCX-00000034,2024-01-03 12:04:00+00:00,BTC,0.22,COMPRA,USD,C005,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853327+00:00
BTCX-00000035,2024-01-03 12:37:00+00:00,BTC,0.15,COMPRA,USD,C005,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.853386+00:00
BTCX-00000036,2024-01-03 19:03:00+00:00,BTC,0.15,COMPRA,USD,C010,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.853441+00:00
BTCX-00000037,2024-01-03 10:32:00+00:00,BTC,0.16,VENDA,USD,C002,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.853494+00:00
BTCX-00000038,2024-01-03 12:34:00+00:00,BTC,0.09,VENDA,USD,C009,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.853548+00:00
BTCX-00000039,2024-01-03 15:12:00+00:00,BTC,0.07,COMPRA,USD,C004,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.853604+00:00
BTCX-00000040,2024-01-03 14:27:00+00:00,BTC,0.27,VENDA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853658+00:00
BTCX-00000041,2024-01-03 19:41:00+00:00,BTC,0.42,COMPRA,USD,C003,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.853711+00:00
BTCX-00000042,2024-01-03 20:21:00+00:00,BTC,0.07,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853763+00:00
BTCX-00000043,2024-01-03 17:28:00+00:00,BTC,0.09,VENDA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.853815+00:00
BTCX-00000044,2024-01-03 16:15:00+00:00,BTC,0.05,VENDA,USD,C001,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853870+00:00
BTCX-00000045,2024-01-03 09:41:00+00:00,BTC,0.35,COMPRA,USD,C009,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853924+00:00
BTCX-00000046,2024-01-04 15:31:00+00:00,BTC,0.31,COMPRA,USD,C010,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.853984+00:00
BTCX-00000047,2024-01-04 11:24:00+00:00,BTC,0.01,VENDA,USD,C006,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.854039+00:00
BTCX-00000048,2024-01-04 13:27:00+00:00,BTC,0.45,VENDA,USD,C002,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854093+00:00
BTCX-00000049,2024-01-04 13:13:00+00:00,BTC,0.04,COMPRA,USD,C005,RETAIL,US,btc_planilha.xlsx,2025-08-13 17:52:36.854146+00:00
BTCX-00000050,2024-01-04 09:03:00+00:00,BTC,0.38,VENDA,USD,C009,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.854199+00:00
BTCX-00000051,2024-01-04 11:03:00+00:00,BTC,0.33,COMPRA,USD,C006,ONLINE,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854252+00:00
BTCX-00000052,2024-01-04 18:04:00+00:00,BTC,0.44,COMPRA,USD,C001,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854306+00:00
BTCX-00000053,2024-01-04 18:15:00+00:00,BTC,0.38,COMPRA,USD,C009,RETAIL,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854361+00:00
BTCX-00000054,2024-01-04 15:42:00+00:00,BTC,0.38,VENDA,USD,C003,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854415+00:00
BTCX-00000055,2024-01-04 19:45:00+00:00,BTC,0.21,COMPRA,USD,C008,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.854468+00:00
BTCX-00000056,2024-01-04 11:42:00+00:00,BTC,0.42,VENDA,USD,C010,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.854523+00:00
BTCX-00000057,2024-01-04 10:00:00+00:00,BTC,0.3,COMPRA,USD,C004,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.854577+00:00
BTCX-00000058,2024-01-04 12:32:00+00:00,BTC,0.17,COMPRA,USD,C008,DISTRIB,BR,btc_planilha.xlsx,2025-08-13 17:52:36.854633+00:00
BTCX-00000059,2024-01-05 14:18:00+00:00,BTC,0.11,VENDA,USD,C003,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.854695+00:00
BTCX-00000060,2024-01-05 13:39:00+00:00,BTC,0.42,COMPRA,USD,C001,RETAIL,EU,btc_planilha.xlsx,2025-08-13 17:52:36.854750+00:00
BTCX-00000061,2024-01-05 13:59:00+00:00,BTC,0.43,COMPRA,USD,C006,ONLINE,US,btc_planilha.xlsx,2025-08-13 17:52:36.854804+00:00
BTCX-00000062,2024-01-05 10:56:00+00:00,BTC,0.07,COMPRA,USD,C009,DISTRIB,US,btc_planilha.xlsx,2025-08-13 17:52:36.854857+00:00
BTCX-00000063,2024-01-05 18:13:00+00:00,BTC,0.46,VENDA,USD,C006,ONLINE,EU,btc_planilha.xlsx,2025-08-13 17:52:36.854910+00:00
