transaction_id,data_hora,commodity_code,quantidade,tipo_operacao,unidade,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
COM-00000001,2024-01-01 09:52:00+00:00,COFFEE,25.0,COMPRA,kg,USD,C010,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.343643+00:00
COM-00000002,2024-01-01 17:03:00+00:00,SILVER,39.0,COMPRA,oz,USD,C007,ONLINE,EU,commodities_operacional.sql,2025-08-13 17:52:37.343706+00:00
COM-00000003,2024-01-01 14:09:00+00:00,SILVER,28.0,VENDA,oz,USD,C001,RETAIL,EU,commodities_operacional.sql,2025-08-13 17:52:37.343761+00:00
COM-00000004,2024-01-01 17:22:00+00:00,GOLD,20.0,COMPRA,oz,USD,C005,RETAIL,EU,commodities_operacional.sql,2025-08-13 17:52:37.343811+00:00
COM-00000005,2024-01-01 09:58:00+00:00,OIL,14.0,VENDA,bbl,USD,C010,ONLINE,US,commodities_operacional.sql,2025-08-13 17:52:37.343861+00:00
COM-00000006,2024-01-01 16:31:00+00:00,SILVER,36.0,VENDA,oz,USD,C009,RETAIL,BR,commodities_operacional.sql,2025-08-13 17:52:37.343909+00:00
COM-00000007,2024-01-01 15:46:00+00:00,OIL,15.0,VENDA,bbl,USD,C007,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.343957+00:00
COM-00000008,2024-01-01 14:08:00+00:00,SILVER,42.0,COMPRA,oz,USD,C005,ONLINE,EU,commodities_operacional.sql,2025-08-13 17:52:37.344004+00:00
COM-00000009,2024-01-01 10:53:00+00:00,SILVER,46.0,VENDA,oz,USD,C002,RETAIL,US,commodities_operacional.sql,2025-08-13 17:52:37.344051+00:00
COM-00000010,2024-01-01 11:36:00+00:00,GOLD,29.0,VENDA,oz,USD,C008,RETAIL,US,commodities_operacional.sql,2025-08-13 17:52:37.344099+00:00
COM-00000011,2024-01-01 19:54:00+00:00,OIL,26.0,VENDA,bbl,USD,C001,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.344146+00:00
COM-00000012,2024-01-01 15:04:00+00:00,SILVER,25.0,VENDA,oz,USD,C010,DISTRIB,EU,commodities_operacional.sql,2025-08-13 17:52:37.344193+00:00
COM-00000013,2024-01-01 09:49:00+00:00,COFFEE,12.0,COMPRA,kg,USD,C007,RETAIL,US,commodities_operacional.sql,2025-08-13 17:52:37.344239+00:00
COM-00000014,2024-01-01 20:25:00+00:00,COFFEE,38.0,COMPRA,kg,USD,C006,ONLINE,BR,commodities_operacional.sql,2025-08-13 17:52:37.344285+00:00
COM-00000015,2024-01-01 18:48:00+00:00,COFFEE,22.0,VENDA,kg,USD,C003,ONLINE,BR,commodities_operacional.sql,2025-08-13 17:52:37.344332+00:00
COM-00000016,2024-01-01 10:09:00+00:00,COFFEE,50.0,VENDA,kg,USD,C004,ONLINE,US,commodities_operacional.sql,2025-08-13 17:52:37.344381+00:00
COM-00000017,2024-01-01 10:35:00+00:00,SILVER,30.0,COMPRA,oz,USD,C005,DISTRIB,BR,commodities_operacional.sql,2025-08-13 17:52:37.344428+00:00
COM-00000018,2024-01-01 17:02:00+00:00,SILVER,38.0,COMPRA,oz,USD,C007,ONLINE,EU,commodities_operacional.sql,2025-08-13 17:52:37.344475+00:00
COM-00000019,2024-01-01 09:57:00+00:00,OIL,24.0,COMPRA,bbl,USD,C001,RETAIL,EU,commodities_operacional.sql,2025-08-13 17:52:37.344521+00:00
COM-00000020,2024-01-01 10:10:00+00:00,GOLD,10.0,VENDA,oz,USD,C010,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.344567+00:00
COM-00000021,2024-01-01 12:28:00+00:00,SILVER,20.0,COMPRA,oz,USD,C008,ONLINE,EU,commodities_operacional.sql,2025-08-13 17:52:37.344619+00:00
COM-00000022,2024-01-01 12:18:00+00:00,SILVER,26.0,COMPRA,oz,USD,C002,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.344670+00:00
COM-00000023,2024-01-01 16:00:00+00:00,SILVER,39.0,COMPRA,oz,USD,C001,RETAIL,EU,commodities_operacional.sql,2025-08-13 17:52:37.344721+00:00
COM-00000024,2024-01-02 15:42:00+00:00,COFFEE,30.0,VENDA,kg,USD,C009,DISTRIB,BR,commodities_operacional.sql,2025-08-13 17:52:37.344781+00:00
COM-00000025,2024-01-02 16:30:00+00:00,SILVER,12.0,VENDA,oz,USD,C005,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.344828+00:00
COM-00000026,2024-01-02 12:38:00+00:00,SILVER,25.0,COMPRA,oz,USD,C008,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.344875+00:00
COM-00000027,2024-01-02 18:47:00+00:00,GOLD,31.0,VENDA,oz,USD,C007,DISTRIB,EU,commodities_operacional.sql,2025-08-13 17:52:37.344922+00:00
COM-00000028,2024-01-02 20:15:00+00:00,SILVER,13.0,VENDA,oz,USD,C008,RETAIL,EU,commodities_operacional.sql,2025-08-13 17:52:37.344969+00:00
COM-00000029,2024-01-02 17:07:00+00:00,SILVER,13.0,COMPRA,oz,USD,C007,DISTRIB,BR,commodities_operacional.sql,2025-08-13 17:52:37.345015+00:00
COM-00000030,2024-01-02 11:37:00+00:00,GOLD,21.0,VENDA,oz,USD,C010,DISTRIB,BR,commodities_operacional.sql,2025-08-13 17:52:37.345061+00:00
COM-00000031,2024-01-02 13:31:00+00:00,COFFEE,42.0,COMPRA,kg,USD,C003,RETAIL,BR,commodities_operacional.sql,2025-08-13 17:52:37.345109+00:00
COM-00000032,2024-01-02 17:03:00+00:00,COFFEE,29.0,COMPRA,kg,USD,C001,ONLINE,US,commodities_operacional.sql,2025-08-13 17:52:37.345155+00:00
COM-00000033,2024-01-02 10:53:00+00:00,SILVER,30.0,VENDA,oz,USD,C005,RETAIL,BR,commodities_operacional.sql,2025-08-13 17:52:37.345201+00:00
COM-00000034,2024-01-02 09:04:00+00:00,GOLD,47.0,COMPRA,oz,USD,C009,ONLINE,US,commodities_operacional.sql,2025-08-13 17:52:37.345247+00:00
COM-00000035,2024-01-02 17:32:00+00:00,OIL,30.0,VENDA,bbl,USD,C001,DISTRIB,US,commodities_operacional.sql,2025-08-13 17:52:37.345292+00:00
COM-00000036,2024-01-02 19:19:00+00:00,OIL,41.0,VENDA,bbl,USD,C007,ONLINE,US,commodities_operacional.sql,2025-08-13 17:52:37.345340+00:00
